ENSRNOT00000094517 ENSRNOG00000064161 TR_V_gene TR_V_gene
ENSRNOT00000014377 ENSRNOG00000010628 protein_coding protein_coding
ENSRNOT00000109502 ENSRNOG00000022491 protein_coding protein_coding
ENSRNOT00000036209 ENSRNOG00000022491 protein_coding protein_coding
ENSRNOT00000076015 ENSRNOG00000051199 protein_coding protein_coding
ENSRNOT00000089165 ENSRNOG00000051199 protein_coding protein_coding
ENSRNOT00000022226 ENSRNOG00000016597 protein_coding protein_coding
ENSRNOT00000029655 ENSRNOG00000028095 protein_coding protein_coding
ENSRNOT00000025829 ENSRNOG00000018953 protein_coding protein_coding
ENSRNOT00000110504 ENSRNOG00000018953 protein_coding protein_coding
ENSRNOT00000092048 ENSRNOG00000018953 protein_coding protein_coding
ENSRNOT00000114512 ENSRNOG00000062564 protein_coding protein_coding
ENSRNOT00000077441 ENSRNOG00000018940 protein_coding protein_coding
ENSRNOT00000025621 ENSRNOG00000018940 protein_coding protein_coding
ENSRNOT00000098724 ENSRNOG00000068976 protein_coding protein_coding
ENSRNOT00000018696 ENSRNOG00000013945 protein_coding protein_coding
ENSRNOT00000100648 ENSRNOG00000013945 protein_coding protein_coding
ENSRNOT00000029197 ENSRNOG00000033706 protein_coding protein_coding
ENSRNOT00000045531 ENSRNOG00000031947 protein_coding protein_coding
ENSRNOT00000022193 ENSRNOG00000016565 protein_coding protein_coding
ENSRNOT00000072310 ENSRNOG00000065362 protein_coding protein_coding
ENSRNOT00000075730 ENSRNOG00000061455 protein_coding protein_coding
ENSRNOT00000012196 ENSRNOG00000009172 protein_coding protein_coding
ENSRNOT00000085812 ENSRNOG00000009172 protein_coding protein_coding
ENSRNOT00000000107 ENSRNOG00000000096 protein_coding protein_coding
ENSRNOT00000115886 ENSRNOG00000014385 protein_coding protein_coding
ENSRNOT00000019349 ENSRNOG00000014385 protein_coding protein_coding
ENSRNOT00000025949 ENSRNOG00000019138 protein_coding protein_coding
ENSRNOT00000113316 ENSRNOG00000019138 protein_coding protein_coding
ENSRNOT00000020678 ENSRNOG00000015424 protein_coding protein_coding
ENSRNOT00000119389 ENSRNOG00000011135 protein_coding protein_coding
ENSRNOT00000015032 ENSRNOG00000011135 protein_coding protein_coding
ENSRNOT00000089648 ENSRNOG00000011135 protein_coding protein_coding
ENSRNOT00000017615 ENSRNOG00000013198 protein_coding protein_coding
ENSRNOT00000082912 ENSRNOG00000022511 protein_coding protein_coding
ENSRNOT00000033404 ENSRNOG00000022511 protein_coding protein_coding
ENSRNOT00000097887 ENSRNOG00000021695 protein_coding protein_coding
ENSRNOT00000009435 ENSRNOG00000021695 protein_coding protein_coding
ENSRNOT00000112389 ENSRNOG00000068014 protein_coding protein_coding
ENSRNOT00000008837 ENSRNOG00000006731 protein_coding protein_coding
ENSRNOT00000026263 ENSRNOG00000065649 protein_coding protein_coding
ENSRNOT00000073539 ENSRNOG00000053559 protein_coding protein_coding
ENSRNOT00000091920 ENSRNOG00000067357 protein_coding protein_coding
ENSRNOT00000109115 ENSRNOG00000065021 protein_coding protein_coding
ENSRNOT00000100268 ENSRNOG00000065021 protein_coding protein_coding
ENSRNOT00000110598 ENSRNOG00000065021 protein_coding protein_coding
ENSRNOT00000075021 ENSRNOG00000050663 protein_coding protein_coding
ENSRNOT00000106765 ENSRNOG00000014753 protein_coding protein_coding
ENSRNOT00000020005 ENSRNOG00000014753 protein_coding protein_coding
ENSRNOT00000094414 ENSRNOG00000064423 protein_coding protein_coding
ENSRNOT00000104569 ENSRNOG00000064423 protein_coding protein_coding
ENSRNOT00000096107 ENSRNOG00000064423 protein_coding protein_coding
ENSRNOT00000103335 ENSRNOG00000016574 protein_coding protein_coding
ENSRNOT00000022236 ENSRNOG00000016574 protein_coding protein_coding
ENSRNOT00000111037 ENSRNOG00000062826 protein_coding protein_coding
ENSRNOT00000052350 ENSRNOG00000032137 protein_coding protein_coding
ENSRNOT00000088746 ENSRNOG00000055608 protein_coding protein_coding
ENSRNOT00000011035 ENSRNOG00000008282 protein_coding protein_coding
ENSRNOT00000095913 ENSRNOG00000008282 protein_coding protein_coding
ENSRNOT00000072815 ENSRNOG00000048436 protein_coding protein_coding
ENSRNOT00000019053 ENSRNOG00000013641 protein_coding protein_coding
ENSRNOT00000103282 ENSRNOG00000013641 protein_coding protein_coding
ENSRNOT00000027575 ENSRNOG00000020347 protein_coding protein_coding
ENSRNOT00000117464 ENSRNOG00000020347 protein_coding protein_coding
ENSRNOT00000027590 ENSRNOG00000020347 protein_coding protein_coding
ENSRNOT00000090000 ENSRNOG00000052014 protein_coding protein_coding
ENSRNOT00000014780 ENSRNOG00000011052 protein_coding protein_coding
ENSRNOT00000022895 ENSRNOG00000016837 protein_coding protein_coding
ENSRNOT00000102968 ENSRNOG00000068222 protein_coding protein_coding
ENSRNOT00000039453 ENSRNOG00000025953 protein_coding protein_coding
ENSRNOT00000114359 ENSRNOG00000025953 protein_coding protein_coding
ENSRNOT00000081423 ENSRNOG00000009792 protein_coding protein_coding
ENSRNOT00000095617 ENSRNOG00000009792 protein_coding protein_coding
ENSRNOT00000013111 ENSRNOG00000009792 protein_coding protein_coding
ENSRNOT00000112234 ENSRNOG00000011758 protein_coding protein_coding
ENSRNOT00000015722 ENSRNOG00000011758 protein_coding protein_coding
ENSRNOT00000108707 ENSRNOG00000011758 protein_coding protein_coding
ENSRNOT00000049057 ENSRNOG00000061525 protein_coding protein_coding
ENSRNOT00000051894 ENSRNOG00000034083 protein_coding protein_coding
ENSRNOT00000021268 ENSRNOG00000015821 protein_coding protein_coding
ENSRNOT00000022349 ENSRNOG00000016608 protein_coding protein_coding
ENSRNOT00000027745 ENSRNOG00000027112 protein_coding protein_coding
ENSRNOT00000107158 ENSRNOG00000004679 protein_coding protein_coding
ENSRNOT00000006175 ENSRNOG00000004679 protein_coding protein_coding
ENSRNOT00000016959 ENSRNOG00000012730 protein_coding protein_coding
ENSRNOT00000106564 ENSRNOG00000012730 protein_coding protein_coding
ENSRNOT00000057478 ENSRNOG00000037833 protein_coding protein_coding
ENSRNOT00000117561 ENSRNOG00000018117 protein_coding protein_coding
ENSRNOT00000024517 ENSRNOG00000018117 protein_coding protein_coding
ENSRNOT00000017572 ENSRNOG00000063952 protein_coding protein_coding
ENSRNOT00000061342 ENSRNOG00000022837 protein_coding protein_coding
ENSRNOT00000030352 ENSRNOG00000022837 protein_coding protein_coding
ENSRNOT00000098158 ENSRNOG00000022837 protein_coding protein_coding
ENSRNOT00000021893 ENSRNOG00000016362 protein_coding protein_coding
ENSRNOT00000016182 ENSRNOG00000026055 protein_coding protein_coding
ENSRNOT00000097129 ENSRNOG00000063054 protein_coding protein_coding
ENSRNOT00000109881 ENSRNOG00000010616 protein_coding protein_coding
ENSRNOT00000014445 ENSRNOG00000010616 protein_coding protein_coding
ENSRNOT00000100221 ENSRNOG00000010616 protein_coding protein_coding
ENSRNOT00000029537 ENSRNOG00000013671 protein_coding protein_coding
ENSRNOT00000095166 ENSRNOG00000017307 protein_coding protein_coding
ENSRNOT00000080927 ENSRNOG00000017307 protein_coding protein_coding
ENSRNOT00000023239 ENSRNOG00000017307 protein_coding protein_coding
ENSRNOT00000115268 ENSRNOG00000017307 protein_coding protein_coding
ENSRNOT00000019189 ENSRNOG00000014000 protein_coding protein_coding
ENSRNOT00000093988 ENSRNOG00000014000 protein_coding protein_coding
ENSRNOT00000107739 ENSRNOG00000037356 protein_coding protein_coding
ENSRNOT00000114769 ENSRNOG00000037356 protein_coding protein_coding
ENSRNOT00000056522 ENSRNOG00000037356 protein_coding protein_coding
ENSRNOT00000117729 ENSRNOG00000037356 protein_coding protein_coding
ENSRNOT00000095925 ENSRNOG00000037356 protein_coding protein_coding
ENSRNOT00000020953 ENSRNOG00000015649 protein_coding protein_coding
ENSRNOT00000097781 ENSRNOG00000020942 protein_coding protein_coding
ENSRNOT00000028423 ENSRNOG00000020942 protein_coding protein_coding
ENSRNOT00000098814 ENSRNOG00000020942 protein_coding protein_coding
ENSRNOT00000110605 ENSRNOG00000070165 protein_coding protein_coding
ENSRNOT00000103394 ENSRNOG00000018441 protein_coding protein_coding
ENSRNOT00000025315 ENSRNOG00000018441 protein_coding protein_coding
ENSRNOT00000110295 ENSRNOG00000018441 protein_coding protein_coding
ENSRNOT00000057001 ENSRNOG00000008738 protein_coding protein_coding
ENSRNOT00000116468 ENSRNOG00000008738 protein_coding protein_coding
ENSRNOT00000040608 ENSRNOG00000032600 protein_coding protein_coding
ENSRNOT00000101551 ENSRNOG00000061080 protein_coding protein_coding
ENSRNOT00000103015 ENSRNOG00000061080 protein_coding protein_coding
ENSRNOT00000093625 ENSRNOG00000061080 protein_coding protein_coding
ENSRNOT00000108916 ENSRNOG00000061080 protein_coding protein_coding
ENSRNOT00000103268 ENSRNOG00000017749 protein_coding protein_coding
ENSRNOT00000023942 ENSRNOG00000017749 protein_coding protein_coding
ENSRNOT00000022963 ENSRNOG00000017079 protein_coding protein_coding
ENSRNOT00000024251 ENSRNOG00000017795 protein_coding protein_coding
ENSRNOT00000086902 ENSRNOG00000052745 protein_coding protein_coding
ENSRNOT00000115453 ENSRNOG00000052745 protein_coding protein_coding
ENSRNOT00000106245 ENSRNOG00000068787 protein_coding protein_coding
ENSRNOT00000035482 ENSRNOG00000028120 protein_coding protein_coding
ENSRNOT00000010489 ENSRNOG00000007979 protein_coding protein_coding
ENSRNOT00000106872 ENSRNOG00000007979 protein_coding protein_coding
ENSRNOT00000112246 ENSRNOG00000007979 protein_coding protein_coding
ENSRNOT00000020969 ENSRNOG00000015657 protein_coding protein_coding
ENSRNOT00000061987 ENSRNOG00000040275 protein_coding protein_coding
ENSRNOT00000118538 ENSRNOG00000062792 protein_coding protein_coding
ENSRNOT00000081589 ENSRNOG00000004852 protein_coding protein_coding
ENSRNOT00000033562 ENSRNOG00000004852 protein_coding protein_coding
ENSRNOT00000101153 ENSRNOG00000004852 protein_coding protein_coding
ENSRNOT00000028476 ENSRNOG00000042133 protein_coding protein_coding
ENSRNOT00000046384 ENSRNOG00000031648 protein_coding protein_coding
ENSRNOT00000022348 ENSRNOG00000016580 protein_coding protein_coding
ENSRNOT00000046659 ENSRNOG00000016189 protein_coding protein_coding
ENSRNOT00000064663 ENSRNOG00000016189 protein_coding protein_coding
ENSRNOT00000111408 ENSRNOG00000016189 protein_coding protein_coding
ENSRNOT00000105786 ENSRNOG00000016189 protein_coding protein_coding
ENSRNOT00000117572 ENSRNOG00000016189 protein_coding protein_coding
ENSRNOT00000116082 ENSRNOG00000027542 protein_coding protein_coding
ENSRNOT00000091863 ENSRNOG00000027542 protein_coding protein_coding
ENSRNOT00000073836 ENSRNOG00000027542 protein_coding protein_coding
ENSRNOT00000038122 ENSRNOG00000027542 protein_coding protein_coding
ENSRNOT00000077839 ENSRNOG00000009548 protein_coding protein_coding
ENSRNOT00000101945 ENSRNOG00000009548 protein_coding protein_coding
ENSRNOT00000052396 ENSRNOG00000009548 protein_coding protein_coding
ENSRNOT00000097419 ENSRNOG00000009548 protein_coding protein_coding
ENSRNOT00000088561 ENSRNOG00000009548 protein_coding protein_coding
ENSRNOT00000011650 ENSRNOG00000008758 protein_coding protein_coding
ENSRNOT00000012919 ENSRNOG00000009748 protein_coding protein_coding
ENSRNOT00000056490 ENSRNOG00000037333 protein_coding protein_coding
ENSRNOT00000012597 ENSRNOG00000009258 protein_coding protein_coding
ENSRNOT00000104799 ENSRNOG00000009258 protein_coding protein_coding
ENSRNOT00000107523 ENSRNOG00000021478 protein_coding protein_coding
ENSRNOT00000030327 ENSRNOG00000021478 protein_coding protein_coding
ENSRNOT00000116457 ENSRNOG00000021478 protein_coding protein_coding
ENSRNOT00000096217 ENSRNOG00000021478 protein_coding protein_coding
ENSRNOT00000078841 ENSRNOG00000021478 protein_coding protein_coding
ENSRNOT00000094990 ENSRNOG00000021478 protein_coding protein_coding
ENSRNOT00000114799 ENSRNOG00000021478 protein_coding protein_coding
ENSRNOT00000023483 ENSRNOG00000017330 protein_coding protein_coding
ENSRNOT00000113120 ENSRNOG00000062409 protein_coding protein_coding
